0	1	-0.0258621
2	2	0.0642857
3	3	-0.0608696
4	4	-0.06
6	5	0.176087
7	6	0.264
8	7	0.195833
9	8	0.1125
10	9	0.0857143
11	10	-0.0576923
13	11	-0.0638889
15	12	-0.3
15	13	0.222414
16	14	0.121277
17	15	-0.169565
18	16	0.154545
19	17	-0.0730769
21	18	-0.0485294
23	19	0.117073
24	20	0.27619
25	21	0.1
26	22	0.156522
27	23	0.134783
28	24	0.116667
29	25	0.253448
30	26	-0.3
30	28	0.252381
31	29	0.186486
32	30	0.125
33	31	-0.0733333
35	32	0.282353
36	33	-0.0103448
38	34	0.109091
39	35	0.210526
40	36	-0.0318182
41	37	-0.0128571
43	38	0.241463
44	39	0.241463
45	40	0
46	41	0.261429
47	42	-0.3
