0	1	0.271622
1	2	0.285484
2	3	0.252
3	4	0.0508475
4	5	-0.0136364
6	6	-0.06
7	7	0.230233
8	8	0.02
9	9	0.0375
10	10	0.0405405
11	11	-0.0230769
12	12	0.05
13	13	-0.0666667
15	14	-0.0970588
17	15	-0.3
17	16	0.197872
18	17	0.0771429
19	18	-0.0910714
20	20	0.286957
21	21	-0.3
21	22	-0.0310345
22	23	-0.06
23	24	-0.0818182
24	25	0.0681818
25	26	0.1875
26	27	0.0833333
27	28	0.038961
28	29	-0.225
29	30	0.230769
30	31	-0.0122951
32	32	0.192308
33	33	0.225
34	34	-0.0954545
35	35	-0.3
35	36	0.0625
36	37	0.0306122
37	38	0.28
38	39	0.202941
39	40	0.24
40	41	-0.109091
41	42	0.202041
42	43	0.153333
43	44	-0.3
43	45	-0.00681818
45	46	0.04
46	47	0.261176
47	48	-0.0139535
49	49	-0.107692
