0	0	0.25
1	1	0.286957
2	2	0.025
3	3	-0.0352941
4	4	0.0947368
5	5	0.225
6	6	-0.0310345
7	7	-0.00857143
8	8	-0.0079646
9	9	0.0223881
10	10	-0.125
11	11	0.0827586
12	12	0.16
13	13	-0.0532258
15	14	0.148673
16	15	-0.0692308
18	16	-0.00416667
20	17	0.161053
21	18	0.0616438
22	19	-0.118605
23	20	0.0714286
24	21	0.247183
25	22	0.270248
26	23	-0.24
27	24	0.212903
28	25	-0.3
28	26	-0.3
28	27	0.295714
29	28	0.0673469
30	29	0.0387097
31	30	0.0412844
32	31	0.0084507
33	32	0.0333333
34	33	-0.165789
35	34	-0.0529412
