0	0	0.153191
1	1	-0.0613636
3	2	-0.09
4	3	0.247059
5	4	0.177778
6	5	0.128571
7	6	0.102632
8	7	0.198113
9	8	0.109091
10	9	-0.01
11	10	0.1625
12	11	-0.096
14	12	-0.0716418
15	14	0.194118
16	15	0.121622
17	16	-0.01125
19	17	0.161538
20	18	0.213333
21	19	-0.272727
22	20	-0.121622
23	22	0.15
24	23	0.0387097
25	24	0.1
26	25	0.0416667
27	26	0.2
28	27	0.1875
29	28	0.0857143
30	29	-0.06
31	30	-0.06
32	31	-0.3
32	32	0.25
33	33	0.0892562
34	34	0.169412
35	35	0.284211
36	36	0.0575758
37	37	0.244444
38	38	-0.18
39	39	0.125316
40	40	-0.0580645
42	41	0.0642857
43	42	0.03
44	43	0.05
