0	0	-0.0225
1	1	-0.0285714
2	2	0.15
3	3	0.295213
4	4	-0.3
4	5	-0.3
4	6	0.26
5	7	0.276923
6	8	0.136364
7	9	-0.0107143
9	10	0.0780822
10	11	0.211765
11	12	0.183333
12	13	-0.06
13	14	0.3
14	15	-0.0194118
16	16	0.28125
17	17	0.221739
18	18	-0.14058
21	19	0.173684
22	20	-0.3
22	21	-0.0202194
24	22	0.094382
25	23	0.229091
26	24	-0.3
26	25	0.22623
27	26	-0.157895
28	27	0.253846
29	28	0.0975
30	29	0.1
31	30	0.0413793
32	31	0.0777778
33	32	0.0987805
34	33	0.176471
35	34	0.08
36	35	0.18
37	36	0.0878571
38	37	0.194595
39	38	0
40	39	0.153191
41	40	0.126316
