0	0	-0.0931034
2	1	0.291892
3	2	0.0439024
4	3	0.182609
5	4	-0.033871
6	5	0.0715385
7	6	0.262921
8	7	0.00517241
9	8	0.102439
10	9	0.276923
11	10	0.167308
12	11	0.176842
13	12	0.177273
14	13	-0.3
14	14	0.253279
15	15	-0.00789474
16	16	0.102273
17	17	0.282353
18	18	-0.3
18	19	0.1125
19	20	0.174
20	21	0.15
21	22	-0.0666667
22	23	0.0762712
23	24	0.23
24	25	-0.208696
25	26	0.1
26	27	0.0552632
27	28	0.1125
28	29	-0.195652
29	30	0.225
30	31	-0.106364
32	32	-0.176923
33	33	0.18
34	34	0.286765
35	35	-0.0642857
