	to_lang	title	to_id	from_id	from_title	authorid	workid	from_file	to_file	author_genre
urn:cts:greekLit:tlg0012.tlg002	eng	Odyssey	urn:cts:greekLit:tlg0012.tlg002.perseus-eng4	urn:cts:greekLit:tlg0012.tlg002.perseus-grc2	Ὀδύσσεια	tlg0012	tlg002	tlg0012.tlg002.perseus-grc2	tlg0012.tlg002.perseus-eng4	Epici/-ae
urn:cts:greekLit:tlg0012.tlg003	eng	Epigrams	urn:cts:greekLit:tlg0012.tlg003.perseus-eng1	urn:cts:greekLit:tlg0012.tlg003.perseus-grc1	Ὁμήρου ἐπιγράμματα	tlg0012	tlg003	tlg0012.tlg003.perseus-grc1	tlg0012.tlg003.perseus-eng1	Epici/-ae
urn:cts:greekLit:tlg0013.tlg001	eng	Hymn 1 to Dionysus	urn:cts:greekLit:tlg0013.tlg001.perseus-eng2	urn:cts:greekLit:tlg0013.tlg001.perseus-grc2	Hymn 1 to Dionysus 	tlg0013	tlg001	tlg0013.tlg001.perseus-grc2	tlg0013.tlg001.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg002	eng	Hymn 2 to Demeter, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg002.perseus-eng2	urn:cts:greekLit:tlg0013.tlg002.perseus-grc2	Hymn 2 to Demeter, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg002	tlg0013.tlg002.perseus-grc2	tlg0013.tlg002.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg003	eng	Hymn 3 to Apollo, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg003.perseus-eng2	urn:cts:greekLit:tlg0013.tlg003.perseus-grc2	Hymn 3 to Apollo, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg003	tlg0013.tlg003.perseus-grc2	tlg0013.tlg003.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg004	eng	Hymn 4 to Hermes, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg004.perseus-eng2	urn:cts:greekLit:tlg0013.tlg004.perseus-grc2	Hymn 4 to Hermes, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg004	tlg0013.tlg004.perseus-grc2	tlg0013.tlg004.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg005	eng	Hymn 5 to Aphrodite, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg005.perseus-eng2	urn:cts:greekLit:tlg0013.tlg005.perseus-grc2	Hymn 5 to Aphrodite, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg005	tlg0013.tlg005.perseus-grc2	tlg0013.tlg005.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg006	eng	Hymn 6 to Aphrodite, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg006.perseus-eng2	urn:cts:greekLit:tlg0013.tlg006.perseus-grc2	Hymn 6 to Aphrodite, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg006	tlg0013.tlg006.perseus-grc2	tlg0013.tlg006.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg007	eng	Hymn 7 to Dionysus, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg007.perseus-eng2	urn:cts:greekLit:tlg0013.tlg007.perseus-grc2	Hymn 7 to Dionysus, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg007	tlg0013.tlg007.perseus-grc2	tlg0013.tlg007.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg008	eng	Hymn 8 to Ares, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg008.perseus-eng2	urn:cts:greekLit:tlg0013.tlg008.perseus-grc2	Hymn 8 to Ares, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg008	tlg0013.tlg008.perseus-grc2	tlg0013.tlg008.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg009	eng	Hymn 9 to Artemis, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg009.perseus-eng2	urn:cts:greekLit:tlg0013.tlg009.perseus-grc2	Hymn 9 to Artemis, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg009	tlg0013.tlg009.perseus-grc2	tlg0013.tlg009.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg010	eng	Hymn 10 to Aphrodite, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg010.perseus-eng2	urn:cts:greekLit:tlg0013.tlg010.perseus-grc2	Hymn 10 to Aphrodite, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg010	tlg0013.tlg010.perseus-grc2	tlg0013.tlg010.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg011	eng	Hymn 11 to Athena, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg011.perseus-eng2	urn:cts:greekLit:tlg0013.tlg011.perseus-grc2	Hymn 11 to Athena, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg011	tlg0013.tlg011.perseus-grc2	tlg0013.tlg011.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg012	eng	Hymn 12 to Hera, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg012.perseus-eng2	urn:cts:greekLit:tlg0013.tlg012.perseus-grc2	Hymn 12 to Hera, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg012	tlg0013.tlg012.perseus-grc2	tlg0013.tlg012.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg013	eng	Hymn 13 to Demeter, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg013.perseus-eng2	urn:cts:greekLit:tlg0013.tlg013.perseus-grc2	Hymn 13 to Demeter, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg013	tlg0013.tlg013.perseus-grc2	tlg0013.tlg013.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg014	eng	Hymn 14 to the Mother of the Gods, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg014.perseus-eng2	urn:cts:greekLit:tlg0013.tlg014.perseus-grc2	Hymn 14 to the Mother of the Gods, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg014	tlg0013.tlg014.perseus-grc2	tlg0013.tlg014.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg015	eng	Hymn 15 to Heracles, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg015.perseus-eng2	urn:cts:greekLit:tlg0013.tlg015.perseus-grc2	Hymn 15 to Heracles, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg015	tlg0013.tlg015.perseus-grc2	tlg0013.tlg015.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg016	eng	Hymn 16 to Asclepius, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg016.perseus-eng2	urn:cts:greekLit:tlg0013.tlg016.perseus-grc2	Hymn 16 to Asclepius, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg016	tlg0013.tlg016.perseus-grc2	tlg0013.tlg016.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg017	eng	Hymn 17 To the Dioscuri	urn:cts:greekLit:tlg0013.tlg017.perseus-eng2	urn:cts:greekLit:tlg0013.tlg017.perseus-grc2	Hymn 17 To the Dioscuri	tlg0013	tlg017	tlg0013.tlg017.perseus-grc2	tlg0013.tlg017.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg018	eng	Hymn 18 to Hermes, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg018.perseus-eng2	urn:cts:greekLit:tlg0013.tlg018.perseus-grc2	Hymn 18 to Hermes, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg018	tlg0013.tlg018.perseus-grc2	tlg0013.tlg018.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg019	eng	Hymn 19 to Pan, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg019.perseus-eng2	urn:cts:greekLit:tlg0013.tlg019.perseus-grc2	Hymn 19 to Pan, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg019	tlg0013.tlg019.perseus-grc2	tlg0013.tlg019.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg020	eng	Hymn 20 to Hephaestus, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg020.perseus-eng2	urn:cts:greekLit:tlg0013.tlg020.perseus-grc2	Hymn 20 to Hephaestus, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg020	tlg0013.tlg020.perseus-grc2	tlg0013.tlg020.perseus-eng2	
